epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7915,0.0000,0.7425,645.0942,0.1697,0.8298,0.0000,0.7920,586.3156,0.1233
1,0.8356,0.0000,0.8115,630.5671,0.1202,0.8612,0.0000,0.8462,576.3689,0.0999
2,0.8609,0.0000,0.8482,622.4656,0.1010,0.8800,0.0000,0.8703,570.6483,0.0865
3,0.8855,0.0000,0.8781,615.4061,0.0847,0.9034,0.0000,0.8979,563.8500,0.0719
4,0.9064,0.0000,0.9014,609.8598,0.0718,0.9204,0.0000,0.9161,560.1225,0.0606
5,0.9197,0.0000,0.9163,605.9567,0.0626,0.9272,0.0000,0.9239,558.3448,0.0601
6,0.9293,0.0000,0.9266,602.8575,0.0556,0.9359,0.0000,0.9333,554.9775,0.0514
7,0.9363,0.0000,0.9343,600.8634,0.0510,0.9393,0.0000,0.9375,553.9543,0.0513
8,0.9428,0.0000,0.9413,599.2078,0.0470,0.9457,0.0000,0.9443,552.5668,0.0465
9,0.9467,0.0000,0.9455,598.1520,0.0447,0.9507,0.0000,0.9496,550.9271,0.0427
10,0.9521,0.0000,0.9512,596.7601,0.0415,0.9539,0.0000,0.9529,549.4141,0.0392
11,0.9570,0.0000,0.9562,595.3567,0.0383,0.9584,0.0000,0.9576,549.2698,0.0367
12,0.9604,0.0000,0.9598,594.3917,0.0361,0.9613,0.0000,0.9607,547.2045,0.0334
13,0.9628,0.0000,0.9622,593.6890,0.0344,0.9633,0.0000,0.9628,546.7226,0.0341
14,0.9629,0.0000,0.9624,593.5866,0.0343,0.9633,0.0000,0.9628,546.6285,0.0329
15,0.9658,0.0000,0.9653,592.8281,0.0325,0.9613,0.0000,0.9608,547.5405,0.0389
16,0.9663,0.0000,0.9658,592.5432,0.0319,0.9655,0.0000,0.9650,545.9418,0.0315
17,0.9671,0.0000,0.9667,592.3328,0.0314,0.9632,0.0000,0.9628,545.9657,0.0351
18,0.9683,0.0000,0.9679,591.9046,0.0305,0.9658,0.0000,0.9652,546.0772,0.0314
19,0.9683,0.0005,0.9679,591.9181,0.0304,0.9579,0.0000,0.9577,547.1284,0.0414
