epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7908,0.0000,0.7584,642.2078,0.1851,0.8523,0.0000,0.8236,581.7380,0.1149
1,0.8674,0.0000,0.8471,623.1970,0.1043,0.9021,0.0000,0.8908,566.3867,0.0772
2,0.9109,0.0000,0.9035,608.5600,0.0694,0.9349,0.0000,0.9313,555.3117,0.0519
3,0.9470,0.0000,0.9444,599.1156,0.0470,0.9554,0.0000,0.9530,548.4292,0.0364
4,0.9693,0.0011,0.9684,592.1736,0.0303,0.9881,0.0000,0.9880,540.0411,0.0180
5,0.9902,0.0243,0.9902,585.5000,0.0156,0.9928,0.0102,0.9928,536.9051,0.0110
6,0.9931,0.0438,0.9931,583.3173,0.0115,0.9940,0.0255,0.9940,534.8403,0.0080
7,0.9938,0.0496,0.9938,582.5894,0.0102,0.9948,0.0663,0.9947,534.5032,0.0068
8,0.9942,0.0649,0.9941,582.1429,0.0096,0.9946,0.0561,0.9946,535.0198,0.0067
9,0.9947,0.0754,0.9947,581.7408,0.0085,0.9926,0.0204,0.9926,535.3297,0.0086
10,0.9948,0.0791,0.9948,581.5954,0.0083,0.9949,0.0714,0.9948,534.4745,0.0059
11,0.9949,0.0833,0.9949,581.4765,0.0080,0.9942,0.0255,0.9942,534.8408,0.0062
12,0.9949,0.0818,0.9949,581.4093,0.0079,0.9948,0.0612,0.9948,534.5611,0.0058
13,0.9950,0.0844,0.9949,581.3093,0.0078,0.9949,0.0765,0.9949,533.6303,0.0063
14,0.9950,0.0870,0.9950,581.2632,0.0075,0.9948,0.0612,0.9948,534.4986,0.0057
15,0.9950,0.0860,0.9950,581.2057,0.0075,0.9948,0.0612,0.9948,534.6153,0.0057
16,0.9950,0.0870,0.9950,581.2032,0.0075,0.9949,0.0765,0.9949,534.2256,0.0059
17,0.9950,0.0860,0.9950,581.2459,0.0075,0.9940,0.0255,0.9939,534.7193,0.0068
18,0.9950,0.0860,0.9950,581.1163,0.0073,0.9948,0.0612,0.9948,534.1683,0.0058
19,0.9950,0.0854,0.9950,581.1906,0.0074,0.9939,0.0255,0.9939,534.7878,0.0065
