epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8305,0.0000,0.7866,633.8671,0.1329,0.8926,0.0000,0.8844,568.7294,0.0836
1,0.9234,0.0000,0.9190,608.8065,0.0674,0.9552,0.0000,0.9541,552.6889,0.0455
2,0.9676,0.0005,0.9673,596.0678,0.0400,0.9822,0.0051,0.9820,546.0740,0.0306
3,0.9915,0.0907,0.9915,588.6195,0.0227,0.9965,0.2092,0.9964,538.1932,0.0143
4,0.9974,0.3892,0.9974,583.8891,0.0125,0.9984,0.5357,0.9984,537.0282,0.0088
5,0.9986,0.5981,0.9986,582.3848,0.0096,0.9991,0.6888,0.9991,536.2621,0.0075
6,0.9992,0.7416,0.9992,581.6658,0.0080,0.9988,0.6837,0.9988,534.1524,0.0062
7,0.9995,0.8196,0.9995,581.1912,0.0070,0.9995,0.8214,0.9995,535.1274,0.0056
8,0.9996,0.8724,0.9996,580.8352,0.0062,0.9998,0.9337,0.9998,534.3927,0.0042
9,0.9997,0.9045,0.9997,580.5433,0.0056,0.9998,0.9286,0.9998,534.0513,0.0038
10,0.9997,0.9056,0.9997,580.4401,0.0053,0.9998,0.9388,0.9998,534.1212,0.0035
11,0.9998,0.9146,0.9998,580.2385,0.0049,0.9998,0.9541,0.9998,533.4293,0.0032
12,0.9999,0.9362,0.9999,580.0607,0.0045,0.9999,0.9694,0.9999,533.6296,0.0028
13,0.9998,0.9436,0.9998,579.9808,0.0044,0.9999,0.9541,0.9999,534.2956,0.0033
14,0.9999,0.9546,0.9999,579.8708,0.0041,0.9999,0.9541,0.9999,532.8272,0.0031
15,0.9999,0.9520,0.9999,579.8003,0.0039,0.9999,0.9541,0.9999,533.8062,0.0027
16,0.9999,0.9546,0.9999,579.6713,0.0036,0.9999,0.9439,0.9999,533.1839,0.0025
17,0.9999,0.9531,0.9999,579.6907,0.0037,1.0000,0.9796,1.0000,533.5635,0.0023
18,0.9999,0.9610,0.9999,579.6161,0.0035,0.9998,0.9490,0.9998,533.3211,0.0025
19,0.9999,0.9699,0.9999,579.5502,0.0033,1.0000,0.9745,1.0000,532.9792,0.0023
