epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8478,0.0005,0.8397,624.1002,0.1306,0.9555,0.0000,0.9542,550.7583,0.0407
1,0.9694,0.0011,0.9689,592.1076,0.0323,0.9807,0.0051,0.9805,541.8729,0.0219
2,0.9814,0.0069,0.9812,587.9276,0.0222,0.9850,0.0000,0.9848,540.2526,0.0172
3,0.9878,0.0206,0.9877,585.5134,0.0162,0.9908,0.0204,0.9907,537.8722,0.0133
4,0.9930,0.0949,0.9930,583.7050,0.0121,0.9945,0.1224,0.9945,537.0754,0.0101
5,0.9959,0.2141,0.9959,582.4808,0.0093,0.9963,0.2041,0.9963,535.8653,0.0083
6,0.9969,0.3228,0.9969,581.8318,0.0079,0.9972,0.3010,0.9972,535.3560,0.0068
7,0.9975,0.4008,0.9975,581.4206,0.0069,0.9973,0.3673,0.9973,535.5574,0.0064
8,0.9979,0.4636,0.9979,581.1569,0.0063,0.9982,0.4745,0.9982,534.7697,0.0055
9,0.9983,0.5090,0.9983,580.9364,0.0059,0.9984,0.4745,0.9984,535.1599,0.0052
10,0.9985,0.5564,0.9985,580.7833,0.0056,0.9977,0.4388,0.9977,536.1323,0.0056
11,0.9986,0.5675,0.9986,580.6721,0.0054,0.9987,0.5918,0.9987,534.2382,0.0045
12,0.9987,0.6039,0.9987,580.5975,0.0052,0.9986,0.5204,0.9986,534.6006,0.0044
13,0.9989,0.6297,0.9989,580.4277,0.0048,0.9990,0.6276,0.9990,534.0758,0.0040
14,0.9989,0.6508,0.9989,580.3666,0.0047,0.9990,0.6224,0.9990,533.9856,0.0039
15,0.9990,0.6709,0.9990,580.2830,0.0045,0.9992,0.6939,0.9992,533.6760,0.0037
16,0.9991,0.6973,0.9991,580.1981,0.0043,0.9991,0.6735,0.9991,534.2059,0.0037
17,0.9991,0.6999,0.9991,580.1044,0.0041,0.9992,0.7143,0.9992,534.1027,0.0034
18,0.9992,0.7284,0.9992,580.0267,0.0039,0.9993,0.7296,0.9993,534.0102,0.0031
19,0.9992,0.7326,0.9992,579.9409,0.0038,0.9993,0.7041,0.9993,533.9568,0.0030
