epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.8254,0.0000,0.7723,635.9622,0.1469,0.8840,0.0000,0.8685,571.9663,0.0869
1,0.9153,0.0000,0.9108,611.1154,0.0736,0.9361,0.0000,0.9348,558.8442,0.0607
2,0.9430,0.0000,0.9415,603.6466,0.0571,0.9500,0.0000,0.9481,555.2122,0.0501
3,0.9617,0.0000,0.9609,598.3911,0.0454,0.9712,0.0000,0.9707,549.4503,0.0388
4,0.9847,0.0090,0.9846,591.7154,0.0306,0.9845,0.0204,0.9844,544.7373,0.0285
5,0.9904,0.0390,0.9904,589.2330,0.0252,0.9888,0.0306,0.9887,543.6411,0.0249
6,0.9928,0.0781,0.9928,588.0402,0.0225,0.9913,0.0408,0.9913,542.3263,0.0229
7,0.9948,0.1261,0.9948,586.8742,0.0198,0.9931,0.0765,0.9930,541.2892,0.0201
8,0.9961,0.2094,0.9961,585.9510,0.0177,0.9943,0.0561,0.9943,541.0398,0.0185
9,0.9972,0.3265,0.9972,585.0387,0.0156,0.9963,0.2755,0.9963,538.8749,0.0158
10,0.9980,0.4277,0.9980,584.1684,0.0136,0.9969,0.3010,0.9969,538.9794,0.0145
11,0.9985,0.4974,0.9985,583.2919,0.0117,0.9975,0.3622,0.9975,538.1847,0.0136
12,0.9988,0.5517,0.9988,582.7132,0.0103,0.9983,0.5204,0.9983,537.2368,0.0105
13,0.9989,0.5902,0.9989,582.2710,0.0094,0.9986,0.6327,0.9986,536.3606,0.0096
14,0.9990,0.6076,0.9990,581.9515,0.0086,0.9987,0.6531,0.9987,536.0539,0.0094
15,0.9990,0.6171,0.9990,581.6371,0.0080,0.9986,0.6071,0.9986,536.4402,0.0113
16,0.9991,0.6508,0.9991,581.4252,0.0074,0.9988,0.6531,0.9988,535.7579,0.0078
17,0.9992,0.6630,0.9992,581.2249,0.0069,0.9990,0.6939,0.9990,536.1213,0.0077
18,0.9992,0.6741,0.9992,581.0795,0.0067,0.9990,0.7092,0.9990,535.8506,0.0070
19,0.9992,0.6730,0.9992,580.9688,0.0064,0.9983,0.5459,0.9983,535.9060,0.0090
