epoch,train_Accuracy,train_Accuracy_seq,train_F1,train_ce_loss,train_loss,valid_Accuracy,valid_Accuracy_seq,valid_F1,valid_ce_loss,valid_loss
0,0.7807,0.0000,0.7100,651.0693,0.1900,0.8120,0.0000,0.7310,599.1938,0.1554
1,0.7981,0.0000,0.7144,647.8686,0.1612,0.8128,0.0000,0.7320,597.8686,0.1502
2,0.7988,0.0000,0.7162,646.6048,0.1568,0.8129,0.0000,0.7317,596.5274,0.1459
3,0.7998,0.0000,0.7191,645.4889,0.1529,0.8139,0.0000,0.7350,595.7908,0.1438
4,0.8005,0.0000,0.7230,644.8336,0.1510,0.8136,0.0000,0.7370,595.4253,0.1432
5,0.8009,0.0000,0.7254,644.4270,0.1498,0.8136,0.0000,0.7349,595.5677,0.1429
6,0.8016,0.0000,0.7279,644.0584,0.1490,0.8136,0.0000,0.7382,595.1166,0.1423
7,0.8023,0.0000,0.7304,643.7562,0.1484,0.8134,0.0000,0.7365,595.0895,0.1421
8,0.8025,0.0000,0.7322,643.4069,0.1476,0.8137,0.0000,0.7388,594.8720,0.1417
9,0.8026,0.0000,0.7336,643.1269,0.1470,0.8131,0.0000,0.7401,594.6519,0.1418
10,0.8033,0.0000,0.7361,642.8284,0.1463,0.8136,0.0000,0.7410,594.5802,0.1414
11,0.8041,0.0000,0.7377,642.6401,0.1459,0.8142,0.0000,0.7411,594.7481,0.1415
12,0.8050,0.0000,0.7404,642.3799,0.1453,0.8140,0.0000,0.7449,594.2770,0.1412
13,0.8057,0.0000,0.7423,642.1351,0.1447,0.8128,0.0000,0.7457,593.9709,0.1409
14,0.8055,0.0000,0.7418,642.2523,0.1451,0.8142,0.0000,0.7417,594.2871,0.1405
15,0.8062,0.0000,0.7437,641.8849,0.1442,0.8153,0.0000,0.7470,593.7838,0.1394
16,0.8068,0.0000,0.7455,641.7379,0.1440,0.8135,0.0000,0.7450,593.9205,0.1403
17,0.8075,0.0000,0.7471,641.5128,0.1434,0.8135,0.0000,0.7470,593.6834,0.1404
18,0.8071,0.0000,0.7467,641.4856,0.1435,0.8130,0.0000,0.7433,594.0308,0.1408
19,0.8075,0.0000,0.7472,641.4116,0.1432,0.8147,0.0000,0.7459,593.6071,0.1391
